feature,weight
intercept,-4.7381905394173485
Time,-0.38252358571471257
V1,0.3178645162631561
V2,-0.07719119437660935
V3,-0.36202572009603806
V4,1.5926193991439916
V5,0.4080016241833706
V6,-0.13195347559219564
V7,0.14631260264020962
V8,-0.45619964478325153
V9,-0.13040833302078642
V10,-0.9937691092377601
V11,0.19738755153742382
V12,-1.1794074748826113
V13,-0.3824159145320542
V14,-1.3932701745411622
V15,-0.007251740835678513
V16,-0.3742476411761484
V17,-0.22030185440083794
V18,-0.10755994744923099
V19,-0.06457452487939665
V20,-0.2685993465387756
V21,0.2561474003850604
V22,0.5814397040307986
V23,-0.26124733902869146
V24,0.1873846692771527
V25,-0.03954579974364914
V26,-0.35306532244794797
V27,-0.043616950939146165
V28,0.433331238669969
Amount,0.21895227186348767
