feature,shap_importance
V4,1.0122226281509028
V14,0.7016063404824808
V12,0.611246924630082
V10,0.464799591826482
V22,0.35319839835659855
Time,0.34486580639759895
V13,0.3042566221085568
V16,0.21147947734888103
V5,0.1984966324364348
V1,0.17937377053679604
V3,0.1784991783773968
V8,0.1363549691691316
V11,0.13439085754398064
V26,0.12870841057940932
V6,0.12395298074885885
Amount,0.12004990400366898
V9,0.11834062382214518
V21,0.11003035446457479
V20,0.10823525329556838
V17,0.08861580314956531
V24,0.08562883563881246
V18,0.08463318458537637
V23,0.08287464246771156
V28,0.06202214494388629
V7,0.06196987279815485
V19,0.04253328248830864
V2,0.04153212842572641
V25,0.016509378397858394
V27,0.009819559601254515
V15,0.005387021734465497
